Name,Brand__c,Model__c,Sale_Price__c,Seating_Capacity__c,Engine_Power__c,Fuel_Type__c,Transmission_Type__c,Range__c,Top_Speed__c,Torque_Nm__c,Weight_Kg__c,Safety_Rating__c,VIN_Number__c,Condition__c,Mileage__c,Year_of_Manufacture__c
Toyota,Toyota,Corolla,10000,5,120,Gasoline,Automatic,600,180,150,1300,4,JH4DA3450GS123456,Used,60000,2018
Honda,Honda,Civic,15000,5,140,Gasoline,Manual,550,190,160,1250,5,1HGCM82633A654321,New,0,2023
Ford,Ford,Focus,13000,5,130,Diesel,Automatic,580,185,155,1280,4,1FAFP34P7XW123456,Used,45000,2017
BMW,BMW,320i,25000,5,180,Gasoline,Automatic,520,210,180,1350,5,WBAAX123456789012,New,0,2022
Mercedes,Mercedes,A-Class,27000,5,160,Gasoline,Automatic,530,200,170,1320,5,WDBJF65JX1B123456,New,0,2021
Audi,Audi,A3,26000,5,150,Gasoline,Automatic,525,205,165,1305,4,WAUBGAFAXCN123456,Used,32000,2019
Kia,Kia,Sportage,22000,5,140,Diesel,Manual,600,175,180,1450,4,KNAFX4A87G1234567,Used,51000,2016
Nissan,Nissan,Altima,17000,5,160,Gasoline,Automatic,540,185,155,1255,5,1N4AL11D45C123456,New,0,2023
Chevrolet,Chevrolet,Malibu,18000,5,170,Gasoline,Automatic,560,190,160,1270,5,1G1ZB5ST4KF123456,Used,40000,2018
Hyundai,Hyundai,Elantra,15000,5,135,Gasoline,Manual,590,185,145,1285,4,KMHDH4AE3BU123456,New,0,2022
Tesla,Tesla,Model 3,35000,5,283,Electric,Automatic,700,250,200,1610,5,5YJSA1H26EFP12345,New,0,2023
Volkswagen,Volkswagen,Golf,14000,5,130,Gasoline,Manual,550,180,150,1240,4,WVWZZZ1JZXW123456,Used,54000,2015
Renault,Renault,Megane,14500,5,120,Diesel,Automatic,570,175,145,1220,4,VF1KZ1CA551234567,Used,46000,2019
Peugeot,Peugeot,308,14000,5,115,Gasoline,Manual,580,170,140,1200,3,VR3LAKFASLJ123456,New,0,2021
Subaru,Subaru,Impreza,20000,5,155,Gasoline,Automatic,560,185,155,1300,4,JF1GD67596H123456,Used,25000,2017
Mazda,Mazda,CX-5,23000,5,165,Gasoline,Manual,620,190,170,1350,5,JM3KE2BE7E0123456,New,0,2023
Toyota,Toyota,Camry,24000,5,170,Gasoline,Automatic,610,195,165,1330,5,JTNBB46K373123456,Used,35000,2018
Honda,Honda,Accord,25000,5,180,Gasoline,Automatic,615,200,170,1345,5,1HGCR2F50FA123456,New,0,2022
Ford,Ford,Fusion,22000,5,175,Gasoline,Manual,580,190,160,1290,4,3FA6P0HR9DR123456,Used,39000,2019
BMW,BMW,520i,45000,5,200,Diesel,Automatic,500,220,190,1380,5,WBAFR7C51CC123456,New,0,2021
Mercedes,Mercedes,C-Class,47000,5,210,Diesel,Automatic,510,230,195,1400,5,WDDGF4HB1BA123456,Used,28000,2017
Audi,Audi,A4,46000,5,195,Diesel,Automatic,520,225,185,1390,5,WAUFFAFL4BN123456,New,0,2022
Jeep,Jeep,Compass,29000,5,150,Diesel,Manual,600,180,170,1455,4,1C4NJPFA4FD123456,Used,46000,2016
Nissan,Nissan,Maxima,35000,5,220,Gasoline,Automatic,580,210,180,1420,5,JN1CV6FE7AM123456,New,0,2023
Chevrolet,Chevrolet,Impala,33000,5,210,Gasoline,Automatic,560,215,175,1405,4,2G1WD5E33C1234567,Used,34000,2018
Hyundai,Hyundai,Santa Fe,32000,7,180,Diesel,Automatic,590,180,170,1540,5,KM8J3CA46JU123456,New,0,2023
Tesla,Tesla,Model X,80000,7,300,Electric,Automatic,720,250,250,2400,5,5YJXCBE22JF123456,New,0,2022
Volkswagen,Volkswagen,Passat,28000,5,175,Diesel,Manual,580,200,160,1300,5,1VWBP7A3XCC123456,Used,38000,2019
Renault,Renault,Koleos,27000,5,165,Diesel,Manual,570,195,155,1350,4,VF1RFA00012345678,Used,41000,2020
Peugeot,Peugeot,508,29000,5,160,Gasoline,Automatic,600,190,155,1370,4,VF3BUAHV121234567,New,0,2021
